rent_id,agreement_date,rent_start_date,rent_end_date,terms
670,2022-06-22,2022-06-28,2025-05-13,Lease agreement for House in IL for 35 months. Condition: Good.
671,2024-12-31,2025-01-12,2026-11-03,Lease agreement for House in IL for 22 months. Condition: Good.
672,2024-12-31,2025-01-30,2027-10-17,Lease agreement for House in IL for 33 months. Condition: Good.
673,2024-08-27,2024-09-23,2027-05-11,Lease agreement for Apartment in NY for 32 months. Condition: Fair.
674,2024-12-30,2025-01-15,2026-06-09,Lease agreement for Villa in IL for 17 months. Condition: Good.
675,2024-12-31,2025-01-13,2026-09-05,Lease agreement for Villa in IL for 20 months. Condition: Good.
676,2024-12-31,2025-01-21,2027-08-09,Lease agreement for Villa in IL for 31 months. Condition: Good.
677,2024-09-10,2024-09-17,2026-05-10,Lease agreement for Office in FL for 20 months. Condition: Good.
678,2023-06-06,2023-07-04,2024-04-29,Lease agreement for Office in TX for 10 months. Condition: Fair.
679,2022-10-24,2022-11-20,2024-10-10,Lease agreement for Studio in CA for 23 months. Condition: Good.
680,2024-12-21,2025-01-20,2026-08-13,Lease agreement for Studio in CA for 19 months. Condition: Good.
681,2024-07-16,2024-07-30,2027-05-16,Lease agreement for Villa in CA for 34 months. Condition: Good.
682,2022-05-21,2022-05-24,2023-10-16,Lease agreement for Villa in CA for 17 months. Condition: Fair.
683,2024-11-24,2024-12-21,2027-02-09,Lease agreement for Office in IL for 26 months. Condition: Good.
684,2024-12-31,2025-01-11,2026-10-03,Lease agreement for Office in IL for 21 months. Condition: Good.
685,2024-12-31,2025-01-30,2027-04-20,Lease agreement for Office in IL for 27 months. Condition: Good.
686,2024-08-11,2024-08-23,2026-01-15,Lease agreement for House in TX for 17 months. Condition: Fair.
687,2024-12-31,2025-01-15,2026-11-06,Lease agreement for House in TX for 22 months. Condition: Fair.
688,2024-12-31,2025-01-02,2026-06-26,Lease agreement for House in TX for 18 months. Condition: Fair.
689,2024-10-31,2024-11-27,2026-01-21,Lease agreement for Villa in TX for 14 months. Condition: Good.
690,2024-12-31,2025-01-14,2027-04-04,Lease agreement for Villa in TX for 27 months. Condition: Good.
691,2024-12-31,2025-01-08,2027-01-28,Lease agreement for Villa in TX for 25 months. Condition: Good.
692,2024-08-12,2024-08-13,2027-07-29,Lease agreement for Villa in TX for 36 months. Condition: Good.
693,2024-12-31,2025-01-06,2025-12-02,Lease agreement for Villa in TX for 11 months. Condition: Good.
694,2023-01-31,2023-02-12,2025-01-02,Lease agreement for Apartment in NY for 23 months. Condition: Good.
695,2024-12-31,2025-01-22,2027-02-11,Lease agreement for Apartment in NY for 25 months. Condition: Good.
696,2024-11-05,2024-11-16,2025-05-15,Lease agreement for Office in IL for 6 months. Condition: Good.
697,2024-12-31,2025-01-01,2026-01-26,Lease agreement for Office in IL for 13 months. Condition: Good.
698,2024-12-31,2025-01-17,2027-08-05,Lease agreement for Office in IL for 31 months. Condition: Good.
699,2023-09-26,2023-10-06,2025-12-24,Lease agreement for Office in NY for 27 months. Condition: Fair.
700,2024-06-09,2024-06-18,2025-09-11,Lease agreement for Apartment in TX for 15 months. Condition: Good.
701,2024-12-31,2025-01-06,2026-12-27,Lease agreement for Apartment in TX for 24 months. Condition: Good.
702,2024-12-31,2025-01-30,2027-02-19,Lease agreement for Apartment in TX for 25 months. Condition: Good.
703,2024-11-15,2024-12-10,2025-08-07,Lease agreement for Office in FL for 8 months. Condition: Fair.
704,2024-12-28,2025-01-08,2026-09-30,Lease agreement for Villa in TX for 21 months. Condition: Good.
705,2024-12-31,2025-01-26,2025-12-22,Lease agreement for Villa in TX for 11 months. Condition: Good.
706,2022-09-15,2022-09-19,2023-11-13,Lease agreement for Apartment in FL for 14 months. Condition: Good.
707,2024-05-27,2024-06-19,2025-11-11,Lease agreement for Apartment in FL for 17 months. Condition: Good.
708,2024-12-31,2025-01-17,2026-12-08,Lease agreement for Apartment in FL for 23 months. Condition: Good.
709,2024-08-23,2024-09-13,2027-08-29,Lease agreement for Villa in TX for 36 months. Condition: Good.
710,2024-12-31,2025-01-24,2027-06-13,Lease agreement for Villa in TX for 29 months. Condition: Good.
711,2024-12-31,2025-01-08,2025-07-07,Lease agreement for Villa in TX for 6 months. Condition: Good.
712,2024-03-08,2024-04-06,2025-11-27,Lease agreement for Office in NY for 20 months. Condition: Fair.
713,2024-12-31,2025-01-13,2026-06-07,Lease agreement for Office in NY for 17 months. Condition: Fair.
714,2024-03-08,2024-03-28,2026-02-16,Lease agreement for Studio in IL for 23 months. Condition: Good.
715,2024-12-31,2025-01-19,2027-11-05,Lease agreement for Studio in IL for 34 months. Condition: Good.
716,2021-03-04,2021-03-25,2022-09-16,Lease agreement for Studio in IL for 18 months. Condition: Good.
717,2023-10-15,2023-11-11,2025-12-30,Lease agreement for Studio in IL for 26 months. Condition: Good.
718,2024-12-22,2025-01-04,2027-06-23,Lease agreement for Apartment in CA for 30 months. Condition: Good.
719,2024-12-31,2025-01-25,2027-09-12,Lease agreement for Apartment in CA for 32 months. Condition: Good.
720,2024-12-31,2025-01-07,2027-07-26,Lease agreement for Apartment in CA for 31 months. Condition: Good.
721,2024-04-23,2024-05-20,2025-01-15,Lease agreement for Apartment in NY for 8 months. Condition: Fair.
722,2024-12-31,2025-01-22,2027-04-12,Lease agreement for Apartment in NY for 27 months. Condition: Fair.
723,2024-12-31,2025-01-06,2026-01-01,Lease agreement for Apartment in NY for 12 months. Condition: Fair.
724,2024-05-26,2024-06-08,2025-08-02,Lease agreement for Studio in FL for 14 months. Condition: Fair.
725,2024-12-31,2025-01-14,2026-10-06,Lease agreement for Studio in FL for 21 months. Condition: Fair.
726,2023-05-08,2023-06-07,2024-04-02,Lease agreement for Office in TX for 10 months. Condition: Fair.
727,2024-04-26,2024-05-15,2025-05-10,Lease agreement for Office in TX for 12 months. Condition: Fair.
728,2021-11-02,2021-11-08,2023-07-01,Lease agreement for Office in NY for 20 months. Condition: Fair.
729,2024-06-04,2024-07-01,2026-02-21,Lease agreement for Office in NY for 20 months. Condition: Fair.
730,2024-12-31,2025-01-09,2026-10-01,Lease agreement for Office in NY for 21 months. Condition: Fair.
731,2024-10-15,2024-11-08,2026-09-29,Lease agreement for Villa in NY for 23 months. Condition: Good.
732,2024-12-31,2025-01-16,2027-01-06,Lease agreement for Villa in NY for 24 months. Condition: Good.
733,2024-12-31,2025-01-14,2025-08-12,Lease agreement for Villa in NY for 7 months. Condition: Good.
734,2024-06-05,2024-07-04,2026-05-25,Lease agreement for Office in NY for 23 months. Condition: Good.
735,2024-12-31,2025-01-09,2026-10-31,Lease agreement for Office in NY for 22 months. Condition: Good.
736,2021-09-03,2021-10-03,2024-02-20,Lease agreement for House in NY for 29 months. Condition: Good.
737,2024-04-19,2024-05-01,2027-04-16,Lease agreement for Villa in FL for 36 months. Condition: Poor.
738,2024-12-31,2025-01-13,2026-12-04,Lease agreement for Villa in FL for 23 months. Condition: Poor.
739,2023-05-18,2023-05-26,2026-03-11,Lease agreement for House in IL for 34 months. Condition: Good.
740,2024-12-31,2025-01-09,2027-10-26,Lease agreement for House in IL for 34 months. Condition: Good.
741,2024-03-02,2024-03-14,2025-01-08,Lease agreement for Office in CA for 10 months. Condition: Poor.
742,2024-12-31,2025-01-27,2027-11-13,Lease agreement for Office in CA for 34 months. Condition: Poor.
743,2024-12-31,2025-01-24,2026-12-15,Lease agreement for Office in CA for 23 months. Condition: Poor.
744,2023-04-24,2023-05-06,2026-02-19,Lease agreement for Office in IL for 34 months. Condition: Good.
745,2023-08-24,2023-09-13,2024-08-08,Lease agreement for Office in TX for 11 months. Condition: Good.
746,2022-08-07,2022-08-27,2023-09-21,Lease agreement for Apartment in FL for 13 months. Condition: Fair.
747,2024-11-22,2024-12-15,2027-11-30,Lease agreement for Office in NY for 36 months. Condition: Poor.
748,2024-12-31,2025-01-28,2027-11-14,Lease agreement for Office in NY for 34 months. Condition: Poor.
749,2022-09-14,2022-10-07,2023-08-03,Lease agreement for Office in TX for 10 months. Condition: Fair.
750,2023-12-25,2024-01-14,2025-06-07,Lease agreement for Villa in TX for 17 months. Condition: Good.
751,2024-09-23,2024-10-17,2026-01-10,Lease agreement for Apartment in TX for 15 months. Condition: Poor.
752,2024-12-31,2025-01-01,2027-03-22,Lease agreement for Apartment in TX for 27 months. Condition: Poor.
753,2024-10-10,2024-10-18,2025-10-13,Lease agreement for Office in IL for 12 months. Condition: Poor.
754,2024-12-31,2025-01-28,2026-03-24,Lease agreement for Office in IL for 14 months. Condition: Poor.
755,2024-12-31,2025-01-28,2025-08-26,Lease agreement for Office in IL for 7 months. Condition: Poor.
756,2024-04-15,2024-05-02,2026-11-18,Lease agreement for Office in IL for 31 months. Condition: Good.
757,2024-12-31,2025-01-13,2026-11-04,Lease agreement for Office in IL for 22 months. Condition: Good.
758,2024-12-31,2025-01-11,2026-11-02,Lease agreement for Office in IL for 22 months. Condition: Good.
759,2024-10-17,2024-10-25,2026-05-18,Lease agreement for Villa in TX for 19 months. Condition: Good.
760,2024-12-31,2025-01-12,2025-12-08,Lease agreement for Villa in TX for 11 months. Condition: Good.
761,2024-11-17,2024-12-01,2027-05-20,Lease agreement for Villa in IL for 30 months. Condition: Good.
762,2024-12-31,2025-01-18,2027-10-05,Lease agreement for Villa in IL for 33 months. Condition: Good.
763,2024-12-31,2025-01-20,2027-11-06,Lease agreement for Villa in IL for 34 months. Condition: Good.
764,2023-07-13,2023-08-03,2025-10-21,Lease agreement for House in FL for 27 months. Condition: Good.
765,2021-09-17,2021-10-09,2024-03-27,Lease agreement for Villa in TX for 30 months. Condition: Fair.
766,2024-09-11,2024-09-28,2026-09-18,Lease agreement for Villa in TX for 24 months. Condition: Fair.
767,2024-07-30,2024-08-23,2027-01-10,Lease agreement for House in FL for 29 months. Condition: Good.
768,2024-12-31,2025-01-29,2027-10-16,Lease agreement for House in FL for 33 months. Condition: Good.
769,2024-12-31,2025-01-10,2027-01-30,Lease agreement for House in FL for 25 months. Condition: Good.
770,2023-12-05,2023-12-28,2026-02-15,Lease agreement for Villa in IL for 26 months. Condition: Poor.
771,2024-12-31,2025-01-06,2027-11-22,Lease agreement for Villa in IL for 35 months. Condition: Poor.
772,2024-12-31,2025-01-06,2026-05-31,Lease agreement for Villa in IL for 17 months. Condition: Poor.
773,2023-11-11,2023-11-14,2026-04-02,Lease agreement for Studio in TX for 29 months. Condition: Poor.
774,2022-08-27,2022-09-04,2025-04-21,Lease agreement for House in NY for 32 months. Condition: Fair.
775,2024-12-31,2025-01-21,2025-12-17,Lease agreement for House in NY for 11 months. Condition: Fair.
776,2023-11-28,2023-12-06,2024-12-30,Lease agreement for Office in CA for 13 months. Condition: Fair.
777,2024-12-31,2025-01-18,2026-04-13,Lease agreement for Office in CA for 15 months. Condition: Fair.
778,2024-04-28,2024-05-16,2025-03-12,Lease agreement for House in CA for 10 months. Condition: Good.
779,2024-12-31,2025-01-14,2027-04-04,Lease agreement for House in CA for 27 months. Condition: Good.
780,2024-07-27,2024-08-11,2025-11-04,Lease agreement for House in CA for 15 months. Condition: Good.
781,2024-12-31,2025-01-25,2026-04-20,Lease agreement for House in CA for 15 months. Condition: Good.
782,2024-12-31,2025-01-23,2027-05-13,Lease agreement for House in CA for 28 months. Condition: Good.
783,2024-05-28,2024-05-31,2026-05-21,Lease agreement for Apartment in NY for 24 months. Condition: Good.
784,2024-12-31,2025-01-14,2027-12-30,Lease agreement for Apartment in NY for 36 months. Condition: Good.
785,2024-12-31,2025-01-17,2026-01-12,Lease agreement for Apartment in NY for 12 months. Condition: Good.
786,2023-06-25,2023-07-08,2025-08-26,Lease agreement for Studio in TX for 26 months. Condition: Fair.
787,2024-12-31,2025-01-20,2027-06-09,Lease agreement for Studio in TX for 29 months. Condition: Fair.
788,2024-12-31,2025-01-02,2027-03-23,Lease agreement for Studio in TX for 27 months. Condition: Fair.
789,2024-10-12,2024-10-30,2026-10-20,Lease agreement for Apartment in FL for 24 months. Condition: Good.
790,2024-12-31,2025-01-20,2027-02-09,Lease agreement for Apartment in FL for 25 months. Condition: Good.
791,2023-05-26,2023-06-15,2025-07-04,Lease agreement for Studio in TX for 25 months. Condition: Good.
792,2024-08-27,2024-09-23,2027-08-09,Lease agreement for Apartment in FL for 35 months. Condition: Fair.
793,2024-12-31,2025-01-08,2025-11-04,Lease agreement for Apartment in FL for 10 months. Condition: Fair.
794,2024-01-16,2024-02-13,2026-07-02,Lease agreement for Office in TX for 29 months. Condition: Fair.
795,2024-12-31,2025-01-22,2025-09-19,Lease agreement for Office in TX for 8 months. Condition: Fair.
796,2024-08-29,2024-09-26,2026-06-18,Lease agreement for Office in TX for 21 months. Condition: Good.
797,2024-12-31,2025-01-15,2026-03-11,Lease agreement for Office in TX for 14 months. Condition: Good.
798,2024-02-17,2024-02-27,2024-10-24,Lease agreement for Villa in FL for 8 months. Condition: Good.
799,2024-03-12,2024-04-03,2025-11-24,Lease agreement for Villa in IL for 20 months. Condition: Good.
800,2024-12-31,2025-01-09,2027-04-29,Lease agreement for Villa in IL for 28 months. Condition: Good.
801,2024-12-31,2025-01-07,2025-09-04,Lease agreement for Villa in IL for 8 months. Condition: Good.
802,2024-12-28,2025-01-23,2027-05-13,Lease agreement for Apartment in IL for 28 months. Condition: Good.
803,2024-12-31,2025-01-28,2025-08-26,Lease agreement for Apartment in IL for 7 months. Condition: Good.
804,2024-02-27,2024-03-18,2025-02-11,Lease agreement for Villa in FL for 11 months. Condition: Fair.
805,2024-12-31,2025-01-13,2025-11-09,Lease agreement for Villa in FL for 10 months. Condition: Fair.
806,2024-12-31,2025-01-06,2026-09-28,Lease agreement for Villa in FL for 21 months. Condition: Fair.
807,2024-12-07,2024-12-31,2025-06-29,Lease agreement for Office in CA for 6 months. Condition: Good.
808,2021-12-03,2021-12-18,2024-09-03,Lease agreement for Office in NY for 33 months. Condition: Good.
809,2024-08-11,2024-08-22,2026-07-13,Lease agreement for Apartment in IL for 23 months. Condition: Good.
810,2024-12-31,2025-01-24,2026-01-19,Lease agreement for Apartment in IL for 12 months. Condition: Good.
811,2024-12-31,2025-01-14,2026-05-09,Lease agreement for Apartment in IL for 16 months. Condition: Good.
812,2022-07-04,2022-07-12,2023-01-08,Lease agreement for Office in FL for 6 months. Condition: Good.
813,2024-12-10,2024-12-30,2026-07-23,Lease agreement for House in CA for 19 months. Condition: Poor.
814,2024-12-31,2025-01-03,2027-10-20,Lease agreement for House in CA for 34 months. Condition: Poor.
815,2024-12-31,2025-01-19,2027-10-06,Lease agreement for House in CA for 33 months. Condition: Poor.
816,2021-12-02,2021-12-17,2023-03-12,Lease agreement for Studio in IL for 15 months. Condition: Poor.
817,2024-08-22,2024-08-23,2026-10-12,Lease agreement for Studio in IL for 26 months. Condition: Poor.
818,2024-12-31,2025-01-05,2026-06-29,Lease agreement for Studio in IL for 18 months. Condition: Poor.
819,2022-12-15,2023-01-01,2025-06-19,Lease agreement for Studio in IL for 30 months. Condition: Good.
820,2024-12-31,2025-01-06,2025-08-04,Lease agreement for Studio in IL for 7 months. Condition: Good.
821,2023-12-06,2024-01-01,2026-01-20,Lease agreement for Villa in FL for 25 months. Condition: Fair.
822,2024-01-14,2024-01-22,2026-06-10,Lease agreement for Villa in IL for 29 months. Condition: Fair.
823,2024-12-31,2025-01-10,2027-07-29,Lease agreement for Villa in IL for 31 months. Condition: Fair.
824,2024-08-19,2024-08-31,2025-02-27,Lease agreement for Studio in FL for 6 months. Condition: Good.
825,2024-12-31,2025-01-06,2026-01-31,Lease agreement for Studio in FL for 13 months. Condition: Good.
826,2024-12-31,2025-01-07,2026-01-02,Lease agreement for Studio in FL for 12 months. Condition: Good.
827,2022-07-13,2022-08-05,2023-09-29,Lease agreement for Office in NY for 14 months. Condition: Fair.
828,2023-11-04,2023-11-21,2026-11-05,Lease agreement for Office in NY for 36 months. Condition: Fair.
829,2024-12-31,2025-01-27,2026-03-23,Lease agreement for Office in NY for 14 months. Condition: Fair.
830,2022-11-08,2022-11-20,2025-04-08,Lease agreement for Villa in CA for 29 months. Condition: Good.
831,2023-09-09,2023-10-05,2024-04-02,Lease agreement for Apartment in IL for 6 months. Condition: Good.
832,2024-08-16,2024-09-08,2025-06-05,Lease agreement for Apartment in IL for 9 months. Condition: Good.
833,2021-06-07,2021-06-28,2023-04-19,Lease agreement for Villa in TX for 22 months. Condition: Good.
834,2024-07-26,2024-07-31,2027-04-17,Lease agreement for Villa in TX for 33 months. Condition: Good.
835,2024-12-31,2025-01-27,2025-09-24,Lease agreement for Villa in TX for 8 months. Condition: Good.
836,2023-08-19,2023-08-28,2024-09-21,Lease agreement for House in FL for 13 months. Condition: Poor.
837,2024-12-14,2025-01-02,2027-11-18,Lease agreement for House in FL for 35 months. Condition: Poor.
838,2024-12-31,2025-01-25,2025-10-22,Lease agreement for House in FL for 9 months. Condition: Poor.
839,2024-08-28,2024-09-06,2026-06-28,Lease agreement for Studio in IL for 22 months. Condition: Poor.
840,2024-12-31,2025-01-09,2027-07-28,Lease agreement for Studio in IL for 31 months. Condition: Poor.
841,2024-12-31,2025-01-17,2026-11-08,Lease agreement for Studio in IL for 22 months. Condition: Poor.
842,2024-06-01,2024-06-18,2025-03-15,Lease agreement for House in FL for 9 months. Condition: Good.
843,2024-12-31,2025-01-14,2027-09-01,Lease agreement for House in FL for 32 months. Condition: Good.
844,2024-12-31,2025-01-08,2027-10-25,Lease agreement for House in FL for 34 months. Condition: Good.
845,2024-11-03,2024-11-13,2026-09-04,Lease agreement for House in IL for 22 months. Condition: Good.
846,2024-12-31,2025-01-07,2026-04-02,Lease agreement for House in IL for 15 months. Condition: Good.
847,2024-12-31,2025-01-13,2027-11-29,Lease agreement for House in IL for 35 months. Condition: Good.
848,2024-12-20,2025-01-13,2027-11-29,Lease agreement for Villa in IL for 35 months. Condition: Fair.
849,2024-12-31,2025-01-14,2026-06-08,Lease agreement for Villa in IL for 17 months. Condition: Fair.
850,2021-09-03,2021-09-28,2022-12-22,Lease agreement for Office in IL for 15 months. Condition: Good.
851,2024-08-25,2024-09-07,2025-11-01,Lease agreement for Office in IL for 14 months. Condition: Good.
852,2020-11-28,2020-12-11,2022-03-06,Lease agreement for Office in CA for 15 months. Condition: Fair.
853,2023-09-03,2023-10-02,2024-04-29,Lease agreement for Office in CA for 7 months. Condition: Fair.
854,2024-10-01,2024-10-27,2026-11-16,Lease agreement for Office in CA for 25 months. Condition: Fair.
855,2024-07-17,2024-08-01,2027-03-19,Lease agreement for Villa in CA for 32 months. Condition: Fair.
856,2024-12-31,2025-01-18,2027-09-05,Lease agreement for Villa in CA for 32 months. Condition: Fair.
857,2022-04-22,2022-05-05,2024-07-23,Lease agreement for Apartment in FL for 27 months. Condition: Good.
858,2024-12-08,2024-12-29,2026-04-23,Lease agreement for House in CA for 16 months. Condition: Good.
859,2024-04-28,2024-05-11,2026-04-01,Lease agreement for Apartment in IL for 23 months. Condition: Good.
860,2024-12-31,2025-01-30,2026-04-25,Lease agreement for Apartment in IL for 15 months. Condition: Good.
861,2024-05-04,2024-05-28,2025-12-19,Lease agreement for Office in IL for 19 months. Condition: Good.
862,2024-12-31,2025-01-11,2027-09-28,Lease agreement for Office in IL for 33 months. Condition: Good.
863,2024-12-31,2025-01-14,2026-04-09,Lease agreement for Office in IL for 15 months. Condition: Good.
864,2024-08-09,2024-08-31,2025-12-24,Lease agreement for Studio in CA for 16 months. Condition: Fair.
865,2024-12-31,2025-01-07,2026-12-28,Lease agreement for Studio in CA for 24 months. Condition: Fair.
866,2024-12-31,2025-01-21,2026-05-16,Lease agreement for Studio in CA for 16 months. Condition: Fair.
867,2024-06-19,2024-07-11,2026-05-02,Lease agreement for House in IL for 22 months. Condition: Good.
868,2024-12-31,2025-01-18,2026-02-12,Lease agreement for House in IL for 13 months. Condition: Good.
869,2024-12-31,2025-01-03,2025-08-01,Lease agreement for House in IL for 7 months. Condition: Good.
870,2024-01-08,2024-01-26,2025-02-19,Lease agreement for House in NY for 13 months. Condition: Fair.
871,2024-12-31,2025-01-21,2026-11-12,Lease agreement for House in NY for 22 months. Condition: Fair.
872,2024-06-17,2024-07-02,2027-06-17,Lease agreement for Villa in IL for 36 months. Condition: Good.
873,2024-12-31,2025-01-26,2026-08-19,Lease agreement for Villa in IL for 19 months. Condition: Good.
874,2024-12-31,2025-01-26,2027-08-14,Lease agreement for Villa in IL for 31 months. Condition: Good.
875,2024-08-26,2024-09-17,2026-05-10,Lease agreement for House in FL for 20 months. Condition: Fair.
876,2024-12-31,2025-01-30,2026-07-24,Lease agreement for House in FL for 18 months. Condition: Fair.
877,2024-11-23,2024-12-03,2025-09-29,Lease agreement for Studio in NY for 10 months. Condition: Good.
878,2024-12-31,2025-01-03,2027-09-20,Lease agreement for Studio in NY for 33 months. Condition: Good.
879,2024-04-06,2024-04-13,2025-02-07,Lease agreement for Office in CA for 10 months. Condition: Good.
880,2024-12-31,2025-01-29,2027-08-17,Lease agreement for Office in CA for 31 months. Condition: Good.
881,2023-06-29,2023-06-30,2025-12-16,Lease agreement for House in FL for 30 months. Condition: Good.
882,2024-12-31,2025-01-05,2026-08-28,Lease agreement for House in FL for 20 months. Condition: Good.
883,2024-01-28,2024-02-12,2026-10-29,Lease agreement for Apartment in TX for 33 months. Condition: Good.
884,2024-12-31,2025-01-25,2027-12-11,Lease agreement for Apartment in TX for 35 months. Condition: Good.
885,2022-01-02,2022-01-08,2022-10-05,Lease agreement for Office in NY for 9 months. Condition: Fair.
886,2023-12-30,2024-01-19,2027-01-03,Lease agreement for Studio in FL for 36 months. Condition: Good.
887,2024-11-15,2024-12-08,2026-10-29,Lease agreement for Office in TX for 23 months. Condition: Good.
888,2024-12-31,2025-01-10,2026-04-05,Lease agreement for Office in TX for 15 months. Condition: Good.
889,2024-01-16,2024-01-23,2025-06-16,Lease agreement for Studio in NY for 17 months. Condition: Good.
890,2024-07-01,2024-07-15,2026-06-05,Lease agreement for Studio in TX for 23 months. Condition: Good.
891,2024-12-31,2025-01-01,2026-01-26,Lease agreement for Studio in TX for 13 months. Condition: Good.
892,2024-12-31,2025-01-19,2025-07-18,Lease agreement for Studio in TX for 6 months. Condition: Good.
893,2024-03-01,2024-03-30,2025-08-22,Lease agreement for Villa in CA for 17 months. Condition: Good.
894,2020-10-27,2020-11-23,2022-03-18,Lease agreement for Studio in CA for 16 months. Condition: Good.
895,2024-02-02,2024-02-04,2026-05-24,Lease agreement for Studio in CA for 28 months. Condition: Good.
896,2023-04-30,2023-05-10,2024-10-01,Lease agreement for Villa in NY for 17 months. Condition: Poor.
897,2023-04-15,2023-05-12,2024-03-07,Lease agreement for Office in CA for 10 months. Condition: Fair.
898,2024-11-01,2024-11-03,2027-03-23,Lease agreement for Office in CA for 29 months. Condition: Fair.
899,2024-12-31,2025-01-09,2025-12-05,Lease agreement for Office in CA for 11 months. Condition: Fair.
900,2024-12-26,2024-12-27,2027-04-16,Lease agreement for Villa in CA for 28 months. Condition: Fair.
901,2023-02-02,2023-02-20,2025-08-08,Lease agreement for House in IL for 30 months. Condition: Fair.
902,2024-12-31,2025-01-15,2027-09-02,Lease agreement for House in IL for 32 months. Condition: Fair.
903,2024-12-31,2025-01-15,2026-03-11,Lease agreement for House in IL for 14 months. Condition: Fair.
904,2024-11-24,2024-12-08,2027-02-26,Lease agreement for Apartment in CA for 27 months. Condition: Fair.
905,2024-12-31,2025-01-12,2027-01-02,Lease agreement for Apartment in CA for 24 months. Condition: Fair.
906,2024-12-31,2025-01-21,2026-12-12,Lease agreement for Apartment in CA for 23 months. Condition: Fair.
907,2024-11-26,2024-12-06,2025-10-02,Lease agreement for Office in NY for 10 months. Condition: Good.
908,2024-12-31,2025-01-18,2025-09-15,Lease agreement for Office in NY for 8 months. Condition: Good.
909,2024-08-27,2024-09-11,2025-09-06,Lease agreement for Studio in NY for 12 months. Condition: Good.
910,2024-12-31,2025-01-02,2025-08-30,Lease agreement for Studio in NY for 8 months. Condition: Good.
911,2024-09-20,2024-09-26,2025-05-24,Lease agreement for Studio in FL for 8 months. Condition: Good.
912,2024-12-31,2025-01-13,2027-01-03,Lease agreement for Studio in FL for 24 months. Condition: Good.
913,2022-04-08,2022-04-16,2023-10-08,Lease agreement for Villa in CA for 18 months. Condition: Poor.
914,2024-05-31,2024-06-25,2025-08-19,Lease agreement for Villa in CA for 14 months. Condition: Poor.
915,2024-03-22,2024-04-02,2026-10-19,Lease agreement for Apartment in TX for 31 months. Condition: Good.
916,2024-12-31,2025-01-28,2027-04-18,Lease agreement for Apartment in TX for 27 months. Condition: Good.
917,2024-12-31,2025-01-05,2027-02-24,Lease agreement for Apartment in TX for 26 months. Condition: Good.
918,2023-12-25,2024-01-08,2025-12-28,Lease agreement for House in IL for 24 months. Condition: Good.
919,2024-12-11,2024-12-12,2026-11-02,Lease agreement for Villa in IL for 23 months. Condition: Good.
920,2024-12-31,2025-01-11,2026-05-06,Lease agreement for Villa in IL for 16 months. Condition: Good.
921,2024-12-31,2025-01-21,2026-05-16,Lease agreement for Villa in IL for 16 months. Condition: Good.
922,2024-12-05,2024-12-14,2027-03-04,Lease agreement for Villa in TX for 27 months. Condition: Good.
923,2024-12-31,2025-01-20,2025-09-17,Lease agreement for Villa in TX for 8 months. Condition: Good.
924,2024-12-31,2025-01-06,2027-09-23,Lease agreement for Villa in TX for 33 months. Condition: Good.
925,2024-09-28,2024-10-06,2027-02-23,Lease agreement for Office in NY for 29 months. Condition: Poor.
926,2020-07-25,2020-08-21,2022-11-09,Lease agreement for House in IL for 27 months. Condition: Poor.
927,2024-05-04,2024-05-22,2026-05-12,Lease agreement for House in IL for 24 months. Condition: Poor.
928,2024-12-31,2025-01-07,2026-01-02,Lease agreement for House in IL for 12 months. Condition: Poor.
929,2024-02-04,2024-02-14,2025-12-05,Lease agreement for Studio in IL for 22 months. Condition: Fair.
930,2023-09-17,2023-09-23,2025-04-15,Lease agreement for Office in CA for 19 months. Condition: Good.
931,2024-12-31,2025-01-26,2025-07-25,Lease agreement for Office in CA for 6 months. Condition: Good.
932,2024-12-31,2025-01-14,2026-08-07,Lease agreement for Office in CA for 19 months. Condition: Good.
933,2024-01-09,2024-02-06,2024-12-02,Lease agreement for Office in CA for 10 months. Condition: Fair.
934,2024-12-24,2025-01-20,2027-03-11,Lease agreement for Office in CA for 26 months. Condition: Fair.
935,2024-12-31,2025-01-24,2027-02-13,Lease agreement for Office in CA for 25 months. Condition: Fair.
936,2024-08-30,2024-09-27,2025-07-24,Lease agreement for Studio in IL for 10 months. Condition: Fair.
937,2023-08-10,2023-08-19,2025-12-06,Lease agreement for House in TX for 28 months. Condition: Good.
938,2024-12-14,2024-12-27,2026-07-20,Lease agreement for Office in IL for 19 months. Condition: Fair.
939,2024-12-31,2025-01-12,2026-04-07,Lease agreement for Office in IL for 15 months. Condition: Fair.
940,2023-07-25,2023-08-12,2024-03-09,Lease agreement for Villa in IL for 7 months. Condition: Fair.
941,2024-08-21,2024-09-05,2027-01-23,Lease agreement for Villa in IL for 29 months. Condition: Fair.
942,2021-11-03,2021-11-15,2022-05-14,Lease agreement for Office in TX for 6 months. Condition: Poor.
943,2020-08-19,2020-08-26,2022-09-15,Lease agreement for Villa in NY for 25 months. Condition: Good.
944,2023-05-06,2023-06-05,2023-12-02,Lease agreement for Villa in NY for 6 months. Condition: Good.
945,2024-06-21,2024-07-18,2026-04-09,Lease agreement for Villa in NY for 21 months. Condition: Good.
946,2021-09-13,2021-10-02,2022-07-29,Lease agreement for Villa in CA for 10 months. Condition: Good.
947,2024-12-12,2025-01-11,2025-11-07,Lease agreement for Villa in CA for 10 months. Condition: Good.
948,2022-04-19,2022-04-28,2024-12-13,Lease agreement for House in TX for 32 months. Condition: Fair.
